id,amount0,amountUSD,amount1,timestamp
0x44822cab414b84007a233e2bdcc06d9767fe1977602234696cc2d3d9d6e06c35#22259,10000.0,306.4415143768949,-0.11093457132222452,2024-02-17 18:02:11
0x9e7e6d4a0292fa21eac316ca2c7bfe3fa3038d1f37a4702f3d8c43e63f165f17#22269,28055.575769910858,916.2040213172777,-0.3309765234964562,2024-02-17 19:33:11
0x86a336cf0827026f5dcc0578ebec4a94dbe987e64c03a6fbf1a490454424894c#22274,55155.01944458668,1911.8532960821171,-0.6906440384155484,2024-02-17 20:01:23
0x31e3b0ab1ed71a81089f4e0c736828759b0e18248c26b854839a445a538f8e14#22275,96403.64522052403,3295.165982133326,-1.1903563656342115,2024-02-17 20:01:59
0xcba212ed3c49756de312bdcf5f3d3214e9fb847cdb4c37a65325bdb7c8dfeece#22277,96956.81658348406,3256.3594479446706,-1.1763377683161604,2024-02-17 20:08:47
0xe7c62f98590bca471d6480ae34121371062d8f977b98743b0ee22a90e381ed38#22282,18043.928031416108,601.2409819777417,-0.21718522452485925,2024-02-17 20:25:59
0xcd5adab9e278c6152f9daa725619dfc852219eec7bf31a6b7ab32de958cafa1e#22283,800.0,26.6217136345008,-0.009612670256384974,2024-02-17 20:29:47
0x01b3c50032bd12a3f724fb9c030503f13805df1357c9503a0a11d5b3a7e4225c#22285,167318.8522582263,5543.791472774648,-2.00146874216145,2024-02-17 20:43:11
0xd4b5cb87f699b7ce786557fec178ea7f4e835e71b2d71e5ec131a5835096cc9a#22286,30129.602718459308,980.5785809067158,-0.3540171719221522,2024-02-17 20:45:59
0x702e9694b5ce15a61aa3704eeb128000beafcfa4c0df50226a156c0db81150c5#22288,8939.196009564583,290.0575276617897,-0.10471794060164308,2024-02-17 20:48:11
0x25e9c52e7e50e2c351f77555e0a487cb483321a3b2a6c852d0f2e201bb5549ee#22289,19375.950650251132,627.1119151530937,-0.22640290983296288,2024-02-17 20:49:23
0x41b7da9e6962ea7cba7b0246bd735df2c412094daaa4721f894e169d0a8b03cd#22291,4489.561982119056,146.13507361068963,-0.052433267368865506,2024-02-17 21:32:59
0x996b7ea1eca25fb13459b484652af475888634de6c51ef027a149f00827e6d06#22292,16698.46610972524,543.4366327950086,-0.19465018960676292,2024-02-17 21:38:23
0x5ca9c2319d4f4cee2ea3d58af3a1f372bd602aa312cd9eb7135b7afce5c993fd#22293,1629.7872561481188,52.952937457225055,-0.018966883522870574,2024-02-17 21:47:35
0x66a9dfa4cdcd12581e6504ce7063b5ca9bd1ae14a5224fd9d8a7ce0dc0920af2#22295,40000.0,1301.8492916458815,-0.4663013057382325,2024-02-17 21:55:59
0xdbd28ad09fa93ef6fd3534dbb192c8fc8eb9afac65c043ae659594b9548e726b#22310,29648.577,1015.6718970779185,-0.36395064861105486,2024-02-17 22:31:11
0xd0e77909e715b8ff7e668541e43f861f58cee5a20a6d772e4d7cbfbc2d46bc55#22311,20000.000020071526,682.0224127197603,-0.24439244303798305,2024-02-17 22:39:59
0x810ff50275c6bcf640eb885826457016703b32623814e123428f9103514219a7#22314,40249.26885311429,1390.8789876469964,-0.4986603360191775,2024-02-17 22:46:11
0xebcdadae7700dd0388bc4caa890a62e627704dcfdc8e065407529d040b570c08#22318,978.2066,34.2077246980607,-0.012264212518764268,2024-02-17 22:51:59
0xd6834f8eb48c290fca9a3b69600a4d887285b03bd39fa9fe73fa6c84eff75ec9#22326,30000.000012135817,1084.2766338896756,-0.3887514060132779,2024-02-17 23:59:23
0x4ead065f9ba2f7c22d59cad10ac83f02693b691538ffb19efb5608607eecd685#22328,21560.0,788.3634401121021,-0.2826560918255739,2024-02-18 00:09:11
0x0dc642c4f0b84c3c571afe081f995e37dfdc873ac040b51d3a8152ecb38d0c75#22331,4167.93212,152.10635058492957,-0.05453549011871129,2024-02-18 00:18:47
0x6600c55457004ab5bb87a5c37180a83bca98d36e8a4d9add64d9ef322db5fdac#22332,102219.90406640811,3693.150552522914,-1.3241246975521195,2024-02-18 00:26:47
